sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,value,HKTimeZone
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 04:16:59 +0000,2025-09-10 04:25:59 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 04:25:59 +0000,2025-09-10 04:36:29 +0000,asleepDeep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 04:36:29 +0000,2025-09-10 04:45:29 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 04:45:29 +0000,2025-09-10 05:01:59 +0000,asleepDeep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 05:01:59 +0000,2025-09-10 05:19:59 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 05:19:59 +0000,2025-09-10 05:30:29 +0000,asleepDeep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 05:30:29 +0000,2025-09-10 05:54:29 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 05:54:29 +0000,2025-09-10 06:18:59 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 06:18:59 +0000,2025-09-10 06:43:29 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 06:43:29 +0000,2025-09-10 07:17:29 +0000,asleepDeep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 07:17:29 +0000,2025-09-10 07:21:59 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 07:21:59 +0000,2025-09-10 07:38:29 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 07:38:29 +0000,2025-09-10 08:40:59 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 08:40:59 +0000,2025-09-10 08:59:29 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 08:59:29 +0000,2025-09-10 08:59:59 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 08:59:59 +0000,2025-09-10 09:47:59 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 09:47:59 +0000,2025-09-10 10:12:29 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 04:15:20 +0000,2025-09-11 04:30:20 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 04:30:20 +0000,2025-09-11 04:50:20 +0000,asleepDeep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 04:50:20 +0000,2025-09-11 04:57:50 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 04:57:50 +0000,2025-09-11 05:14:20 +0000,asleepDeep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 05:14:20 +0000,2025-09-11 05:23:50 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 05:23:50 +0000,2025-09-11 05:30:50 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 05:30:50 +0000,2025-09-11 05:32:50 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 05:32:50 +0000,2025-09-11 05:37:50 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 05:37:50 +0000,2025-09-11 06:05:50 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 06:05:50 +0000,2025-09-11 06:12:20 +0000,asleepDeep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 06:12:20 +0000,2025-09-11 06:27:20 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 06:27:20 +0000,2025-09-11 06:35:20 +0000,asleepDeep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 06:35:20 +0000,2025-09-11 06:41:50 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 06:41:50 +0000,2025-09-11 07:00:50 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 07:00:50 +0000,2025-09-11 07:27:50 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 07:27:50 +0000,2025-09-11 07:28:50 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 07:28:50 +0000,2025-09-11 07:33:20 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 07:33:20 +0000,2025-09-11 07:33:50 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 07:33:50 +0000,2025-09-11 08:15:20 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 08:15:20 +0000,2025-09-11 08:26:50 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 08:26:50 +0000,2025-09-11 08:29:20 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 08:29:20 +0000,2025-09-11 08:58:50 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 08:58:50 +0000,2025-09-11 09:29:50 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 09:29:50 +0000,2025-09-11 10:13:20 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 10:13:20 +0000,2025-09-11 10:14:20 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 10:14:20 +0000,2025-09-11 10:15:20 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 10:15:20 +0000,2025-09-11 10:16:20 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 21:42:18 +0000,2025-09-11 21:53:18 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 21:53:18 +0000,2025-09-11 22:29:48 +0000,asleepDeep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 22:29:48 +0000,2025-09-11 22:42:48 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 22:42:48 +0000,2025-09-11 22:50:48 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 22:50:48 +0000,2025-09-11 23:29:48 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 23:29:48 +0000,2025-09-11 23:35:48 +0000,asleepDeep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 23:35:48 +0000,2025-09-11 23:36:18 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 23:36:18 +0000,2025-09-11 23:37:18 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 23:37:18 +0000,2025-09-11 23:39:18 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 23:39:18 +0000,2025-09-11 23:51:18 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 23:51:18 +0000,2025-09-12 00:17:18 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 00:17:18 +0000,2025-09-12 01:30:48 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 01:30:48 +0000,2025-09-12 01:31:48 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 01:31:48 +0000,2025-09-12 01:33:18 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 01:33:18 +0000,2025-09-12 01:34:18 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 01:34:18 +0000,2025-09-12 01:38:48 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 01:38:48 +0000,2025-09-12 01:49:18 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 01:49:18 +0000,2025-09-12 01:51:18 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 01:51:18 +0000,2025-09-12 02:02:18 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 02:02:18 +0000,2025-09-12 02:06:18 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 02:06:18 +0000,2025-09-12 02:53:18 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 02:53:18 +0000,2025-09-12 03:01:48 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 03:01:48 +0000,2025-09-12 03:23:48 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 03:23:48 +0000,2025-09-12 03:24:48 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 03:24:48 +0000,2025-09-12 03:26:48 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 05:21:32 +0000,2025-09-12 05:36:32 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 05:36:32 +0000,2025-09-12 05:59:02 +0000,asleepDeep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 05:59:02 +0000,2025-09-12 06:11:32 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 06:11:32 +0000,2025-09-12 06:37:02 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 06:37:02 +0000,2025-09-12 07:07:32 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 07:07:32 +0000,2025-09-12 07:34:32 +0000,asleepDeep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 07:34:32 +0000,2025-09-12 07:45:02 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 07:45:02 +0000,2025-09-12 07:46:02 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 07:46:02 +0000,2025-09-12 07:49:02 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 07:49:02 +0000,2025-09-12 08:04:32 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 08:04:32 +0000,2025-09-12 08:54:32 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 08:54:32 +0000,2025-09-12 09:09:32 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 09:09:32 +0000,2025-09-12 09:22:02 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 09:22:02 +0000,2025-09-12 09:22:32 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 09:22:32 +0000,2025-09-12 09:45:02 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 09:45:02 +0000,2025-09-12 10:09:32 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 10:09:32 +0000,2025-09-12 10:11:32 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 10:11:32 +0000,2025-09-12 10:13:02 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 10:13:02 +0000,2025-09-12 10:14:32 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 10:14:32 +0000,2025-09-12 10:25:32 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 02:39:42 +0000,2025-09-13 02:40:42 +0000,asleep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 02:40:42 +0000,2025-09-13 02:43:12 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 02:43:12 +0000,2025-09-13 02:44:42 +0000,asleep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 02:44:42 +0000,2025-09-13 02:45:42 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 02:45:42 +0000,2025-09-13 03:08:12 +0000,asleep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 03:08:12 +0000,2025-09-13 03:08:42 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 03:08:42 +0000,2025-09-13 03:18:12 +0000,asleep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 03:18:12 +0000,2025-09-13 03:25:12 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 03:25:12 +0000,2025-09-13 03:29:42 +0000,asleep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 03:29:42 +0000,2025-09-13 03:30:42 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 03:30:42 +0000,2025-09-13 03:32:12 +0000,asleep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 03:32:12 +0000,2025-09-13 03:41:12 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 03:41:12 +0000,2025-09-13 03:56:42 +0000,asleep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 03:56:42 +0000,2025-09-13 03:58:42 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 03:58:42 +0000,2025-09-13 04:03:12 +0000,asleep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 06:26:29 +0000,2025-09-13 06:33:59 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 06:33:59 +0000,2025-09-13 06:54:59 +0000,asleepDeep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 06:54:59 +0000,2025-09-13 06:59:59 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 06:59:59 +0000,2025-09-13 07:20:59 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 07:20:59 +0000,2025-09-13 07:35:59 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 07:35:59 +0000,2025-09-13 07:56:59 +0000,asleepDeep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 07:56:59 +0000,2025-09-13 08:19:29 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 08:19:29 +0000,2025-09-13 08:38:59 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 08:38:59 +0000,2025-09-13 09:28:59 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 09:28:59 +0000,2025-09-13 09:29:29 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 09:29:29 +0000,2025-09-13 09:32:29 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 09:32:29 +0000,2025-09-13 09:58:29 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 09:58:29 +0000,2025-09-13 10:49:29 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 10:49:29 +0000,2025-09-13 10:50:29 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 10:50:29 +0000,2025-09-13 10:54:29 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 10:54:29 +0000,2025-09-13 11:25:29 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 11:25:29 +0000,2025-09-13 11:54:29 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 11:54:29 +0000,2025-09-13 12:01:59 +0000,asleepDeep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 12:01:59 +0000,2025-09-13 12:02:29 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 12:02:29 +0000,2025-09-13 12:03:29 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 12:03:29 +0000,2025-09-13 12:50:59 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 12:50:59 +0000,2025-09-13 12:51:29 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 12:51:29 +0000,2025-09-13 12:53:59 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 12:53:59 +0000,2025-09-13 12:54:59 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 12:54:59 +0000,2025-09-13 12:59:59 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 12:59:59 +0000,2025-09-13 13:07:59 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 13:07:59 +0000,2025-09-13 13:09:29 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 13:09:29 +0000,2025-09-13 13:12:59 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 13:12:59 +0000,2025-09-13 13:13:29 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 13:13:29 +0000,2025-09-13 13:15:29 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 13:15:29 +0000,2025-09-13 13:16:29 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 13:16:29 +0000,2025-09-13 13:27:29 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 13:27:29 +0000,2025-09-13 13:34:29 +0000,awake,America/Chicago
